TOA5,Snow Weather,CR1000,86158,CR1000.Std.31.03,CPU:SnowCollege_20190531.CR1,38534,Daily,,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,AirTF_Avg,AirTF_Max,AirTF_TMx,AirTF_Min,AirTF_TMn,RH_Avg,RH_Max,RH_TMx,RH_Min,RH_TMn,WindGust,WS_mph_TMx,AveWindSp,WindDir,WindDir_SD,BP_inHg_Avg,BP_inHg_Max,BP_inHg_TMx,BP_inHg_Min,BP_inHg_TMn,SlrkW_Max,HeatedPrecip_Tot,Rain_Tot,TdC_Min,TdC_Max,WC_C_Min,HI_C_Max
6/1/2019 0:00,0,61.76,72.2,5/31/2019 15:30,50.01,5/31/2019 23:54,54.66,87.8,5/31/2019 21:49,26.01,5/31/2019 18:08,29.81,5/31/2019 16:22,5.476863,54.21596,90.47366,30.08,30.14,5/31/2019 21:38,25.54,5/31/2019 14:55,1.094,0.004,0.13,41.22,51.29,50.01,210.8
6/2/2019 0:00,1,57.03,73.42,6/1/2019 14:37,45.86,6/1/2019 6:27,65.27,92.1,6/1/2019 1:56,26.75,6/1/2019 15:39,22.14,6/1/2019 14:55,2.771693,86.2622,84.66202,30.04,30.11,6/1/2019 1:16,29.96,6/1/2019 17:56,1.185,0.008,0.01,43.28,54.33,45.86,227.9
6/3/2019 0:00,2,57.6,73.42,6/2/2019 14:00,41.83,6/2/2019 6:24,58.28,85.8,6/2/2019 6:28,20.03,6/2/2019 14:01,23.89,6/2/2019 15:33,2.735624,158.0633,65.11545,30.01,30.07,6/2/2019 23:14,29.97,6/2/2019 16:02,1.288,0.004,0,38.68,51.87,41.83,204.7
6/4/2019 0:00,3,58.63,75.01,6/3/2019 13:42,44.28,6/3/2019 5:10,56.97,88.1,6/3/2019 9:18,23.83,6/3/2019 17:09,18.63,6/3/2019 13:31,2.876131,133.4629,81.9659,30.06,30.11,6/3/2019 22:46,30.04,6/3/2019 3:44,1.353,0.004,0,40.65,53.12,44.28,212.9
6/5/2019 0:00,4,61.61,78.68,6/4/2019 17:11,41.47,6/4/2019 6:25,51.57,86.9,6/4/2019 6:32,18.54,6/4/2019 17:52,18.19,6/4/2019 17:44,2.28365,354.9651,84.42762,30.1,30.15,6/4/2019 9:17,30.04,6/4/2019 18:29,1.044,0,0,38.23,52.72,41.47,211.7
6/6/2019 0:00,5,64.8,81.5,6/5/2019 16:42,45.5,6/5/2019 6:09,50.52,84.9,6/5/2019 4:48,20.78,6/5/2019 17:16,13.81,6/5/2019 16:26,2.409826,41.62817,85.15641,30.11,30.15,6/5/2019 7:19,30.06,6/5/2019 18:36,1.043,0.004,0,41.65,54.83,45.5,231.1
6/7/2019 0:00,6,64.08,83.3,6/6/2019 13:12,48.18,6/6/2019 6:32,55.85,81.4,6/6/2019 6:34,22.34,6/6/2019 13:32,25.43,6/6/2019 13:24,2.659567,119.0378,82.29403,30.04,30.09,6/6/2019 7:30,29.96,6/6/2019 19:59,1.265,0,0,43.91,57.9,48.18,267.4
6/8/2019 0:00,7,66.54,82.6,6/7/2019 15:06,48.3,6/7/2019 6:14,41.14,85.1,6/7/2019 3:21,14.6,6/7/2019 15:12,30.47,6/7/2019 14:14,4.975893,176.6104,49.4994,29.93,29.98,6/7/2019 1:28,29.87,6/7/2019 15:41,1.096,0,0,39.77,53.55,48.3,230.1
6/9/2019 0:00,8,53.11,64.15,6/8/2019 16:35,42.81,6/8/2019 6:11,44.07,71.49,6/8/2019 5:40,15.14,6/8/2019 18:11,19.07,6/8/2019 17:57,4.45249,295.354,87.54745,30.17,30.35,6/8/2019 23:51,29.92,6/8/2019 0:00,1.267,0,0,26.18,44.25,42.81,144.7
6/10/2019 0:00,9,52.61,71.1,6/9/2019 17:20,32.69,6/9/2019 5:25,37.08,71.04,6/9/2019 5:25,7.741,6/9/2019 17:12,10.3,6/9/2019 19:32,2.062852,76.56052,88.22903,30.38,30.44,6/9/2019 8:39,30.32,6/9/2019 18:59,1.078,0,0,20.82,42.33,32.69,112.9
6/11/2019 0:00,10,60.35,81.1,6/10/2019 17:15,39.77,6/10/2019 6:10,35.21,68.72,6/10/2019 5:05,7.809,6/10/2019 17:33,15.56,6/10/2019 17:33,2.471614,156.8035,79.19367,30.31,30.37,6/10/2019 6:24,30.23,6/10/2019 18:26,1.122,0,0,27.65,45,39.77,109.5
6/12/2019 0:00,11,63.64,82.7,6/11/2019 17:02,41.47,6/11/2019 6:01,38.59,67.28,6/11/2019 6:02,16.43,6/11/2019 17:06,21.7,6/11/2019 18:21,2.644675,329.705,90.13876,30.28,30.33,6/11/2019 8:34,30.21,6/11/2019 18:21,1.029,0,0,33.95,49.7,41.47,173.6
